rowname model jaccard
NT5013 NT5021 0.364120781527531
NT5013 NT5022 0.4315196998123827
NT5013 NT5023 0.35294117647058826
NT5013 NT5024 0.38793103448275856
NT5013 NT5025 0.4550359712230216
NT5013 NT5026 0.34400000000000003
NT5013 NT5032 0.4092465753424658
NT5013 NT5037 0.2950257289879931
NT5013 NT5038 0.3503787878787879
NT5013 NT5040 0.33017077798861477
NT5013 NT5042 0.43257443082311736
NT5013 NT5044 0.44859813084112143
NT5013 NT5045 0.3106796116504854
NT5013 NT5046 0.32849364791288566
NT5013 NT5048 0.2589118198874296
NT5013 NT5049 0.357495881383855
NT5013 NT5051 0.37649063032367974
NT5013 NT5052 0.35986159169550175
NT5013 NT5068 0.3148479427549195
NT5013 NT5072 0.40476190476190477
NT5013 NT5074 0.3466666666666667
NT5013 NT5075 0.2765151515151515
NT5013 NT5076 0.2724014336917563
NT5013 NT5077 0.4393939393939394
NT5013 YK0001 0.33508771929824566
NT5013 YK0002 0.3948275862068965
NT5014 NT5001 0.3096539162112933
NT5014 NT5002 0.30978260869565216
NT5014 NT5003 0.3466898954703833
NT5014 NT5004 0.37815126050420167
NT5014 NT5005 0.39928057553956836
NT5014 NT5006 0.4389380530973451
NT5014 NT5007 0.5059288537549407
NT5014 NT5008 0.4564102564102564
NT5014 NT5009 0.4336734693877551
NT5014 NT5011 0.4201388888888889
NT5014 NT5013 0.4142335766423358
NT5014 NT5014 0
NT5014 NT5019 0.3911504424778761
NT5014 NT5020 0.302
NT5014 NT5021 0.35555555555555557
NT5014 NT5022 0.4616858237547893
NT5014 NT5023 0.45580589254766024
NT5014 NT5024 0.4147627416520211
NT5014 NT5025 0.40847784200385356
NT5014 NT5026 0.45608628659476114
NT5014 NT5032 0.4471403812824956
NT5014 NT5037 0.4399350649350649
NT5014 NT5038 0.47358834244080145
NT5014 NT5040 0.46279491833030856
NT5014 NT5042 0.47433628318584076
NT5014 NT5044 0.45542635658914726
NT5014 NT5045 0.45571955719557194
NT5014 NT5046 0.4610051993067591
NT5014 NT5048 0.41312056737588654
NT5014 NT5049 0.35213675213675216
NT5014 NT5051 0.33333333333333337
NT5014 NT5052 0.30241187384044527
NT5014 NT5068 0.4300518134715025
NT5014 NT5072 0.4595588235294118
NT5014 NT5074 0.34939759036144574
NT5014 NT5075 0.44778761061946903
NT5014 NT5076 0.4326599326599327
NT5014 NT5077 0.4972677595628415
